benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,500,50,10,50,250,500,12049.583202,0,12049.583202,24.099166403999998,3952.8954,3955.547227,4141.140575
direct-decrypt,1000,10,1,100,100,1000,24023.15253,0,24023.15253,24.02315253,7875.726368,7877.503642,8269.92252
direct-decrypt,1000,10,2,100,100,1000,23976.317966,0,23976.317966,23.976317966,7850.415116,7841.651455,8284.251395
direct-decrypt,1000,10,3,100,100,1000,23981.399498,0,23981.399498,23.981399498,7845.50549,7842.559176,8293.334832
direct-decrypt,1000,10,4,100,100,1000,24046.331014,0,24046.331014,24.046331014,7858.553339,7857.063963,8330.713712
direct-decrypt,1000,10,5,100,100,1000,24047.271489,0,24047.271489,24.047271489,7872.106935,7871.113128,8304.051426
direct-decrypt,1000,10,6,100,100,1000,24029.353371,0,24029.353371,24.029353371000003,7851.756436,7870.786932,8306.810003
direct-decrypt,1000,10,7,100,100,1000,23970.766363,0,23970.766363,23.970766363,7821.675929,7840.871641,8308.218793
direct-decrypt,1000,10,8,100,100,1000,24058.311306,0,24058.311306,24.058311306,7902.159182,7875.741827,8280.410297
direct-decrypt,1000,10,9,100,100,1000,24033.941784,0,24033.941784,24.033941784,7853.551296,7875.146839,8305.243649
direct-decrypt,1000,10,10,100,100,1000,24040.731862,0,24040.731862,24.040731862,7866.440171,7847.151878,8327.139813
direct-decrypt,1000,20,1,100,200,1000,24050.967093,0,24050.967093,24.050967093,7863.580361,7893.769749,8293.616983
direct-decrypt,1000,20,2,100,200,1000,24074.650319,0,24074.650319,24.074650319,7865.189374,7877.792147,8331.668798
direct-decrypt,1000,20,3,100,200,1000,24061.631876,0,24061.631876,24.061631876,7866.11674,7884.351112,8311.164024
direct-decrypt,1000,20,4,100,200,1000,24021.727367,0,24021.727367,24.021727367,7845.683865,7874.563553,8301.479949
direct-decrypt,1000,20,5,100,200,1000,24081.665549,0,24081.665549,24.081665549,7863.106906,7882.246856,8336.311787
direct-decrypt,1000,20,6,100,200,1000,23982.820327,0,23982.820327,23.982820327000002,7811.702385,7833.388687,8337.729255
direct-decrypt,1000,20,7,100,200,1000,23927.674567,0,23927.674567,23.927674566999997,7840.946069,7810.486685,8276.241813
direct-decrypt,1000,20,8,100,200,1000,24153.607717,0,24153.607717,24.153607717,7950.054009,7892.236385,8311.317323
direct-decrypt,1000,20,9,100,200,1000,24024.335746,0,24024.335746,24.024335746000002,7845.657877,7862.634053,8316.043816
direct-decrypt,1000,20,10,100,200,1000,24041.031317,0,24041.031317,24.041031317,7883.107251,7868.902429,8289.021637
direct-decrypt,1000,50,1,100,500,1000,24017.590072,0,24017.590072,24.017590071999997,7841.388762,7868.335178,8307.866132
direct-decrypt,1000,50,2,100,500,1000,24112.507281,0,24112.507281,24.112507281,7850.729456,7950.838358,8310.939467
direct-decrypt,1000,50,3,100,500,1000,24021.563438,0,24021.563438,24.021563438,7862.464802,7856.943313,8302.155323
direct-decrypt,1000,50,4,100,500,1000,23941.482077,0,23941.482077,23.941482077,7807.084944,7855.943493,8278.45364
direct-decrypt,1000,50,5,100,500,1000,24151.981868,0,24151.981868,24.151981868,7880.982765,7915.757333,8355.24177
direct-decrypt,1000,50,6,100,500,1000,24062.113404,0,24062.113404,24.062113403999998,7864.422568,7839.150366,8358.54047
direct-decrypt,1000,50,7,100,500,1000,24047.85958,0,24047.85958,24.04785958,7849.948443,7883.698849,8314.212288
