benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
link-decrypt,50,10,5,5,5,5,1237.943675,1133.957937,103.985738,24.7588735,403.055076,403.479433,431.143248
link-decrypt,50,10,6,5,5,5,1239.495762,1135.432705,104.063057,24.78991524,405.355538,403.775601,430.141323
link-decrypt,50,10,7,5,5,5,1236.593306,1133.428903,103.164403,24.73186612,402.510127,403.042325,430.804226
link-decrypt,50,10,8,5,5,5,1238.487821,1134.768652,103.719169,24.76975642,403.878367,403.189891,431.133534
link-decrypt,50,10,9,5,5,5,1237.379984,1133.545485,103.834499,24.747599679999997,403.122781,403.434839,430.621366
link-decrypt,50,10,10,5,5,5,1235.320964,1131.850674,103.47029,24.70641928,402.693992,402.581624,429.841319
link-decrypt,50,50,1,5,25,25,1650.094124,1133.598669,516.495455,33.00188248,504.057235,505.950832,639.886838
link-decrypt,50,50,2,5,25,25,1648.507328,1132.525132,515.982196,32.970146559999996,504.084913,504.49572,639.727346
link-decrypt,50,50,3,5,25,25,1646.599116,1130.551251,516.047865,32.93198232,504.809357,502.81972,638.765271
link-decrypt,50,50,4,5,25,25,1677.78749,1151.83844,525.94905,33.5557498,512.725004,512.869874,651.988714
link-decrypt,50,50,5,5,25,25,1675.374681,1150.921224,524.453457,33.50749362,512.850382,512.576724,649.736986
link-decrypt,50,50,6,5,25,25,1662.25174,1140.367848,521.883892,33.2450348,511.008053,505.184548,645.84901
link-decrypt,50,50,7,5,25,25,1657.702893,1139.707348,517.995545,33.154057859999995,505.666374,509.46769,642.37194
link-decrypt,50,50,8,5,25,25,1655.645991,1137.357929,518.288062,33.11291982,509.109171,505.055028,641.276054
link-decrypt,50,50,9,5,25,25,1663.619986,1146.021051,517.598935,33.272399719999996,506.563996,510.721439,646.136422
link-decrypt,50,50,10,5,25,25,1667.466986,1148.64334,518.823646,33.349339719999996,507.049501,507.106651,653.106565
link-decrypt,100,10,1,10,10,10,2482.889188,2275.617527,207.271661,24.82889188,807.850519,811.372716,863.301175
link-decrypt,100,10,2,10,10,10,2485.829535,2277.087685,208.74185,24.85829535,811.76187,810.146111,863.550847
link-decrypt,100,10,3,10,10,10,2481.46992,2273.668835,207.801085,24.8146992,809.172862,808.02789,863.872251
